Month,Total,Year,In Assessment,Pending
January,2028,2020,562,1466
February,1993,2020,531,1462
March,2017,2020,469,1548
April,1678,2020,463,1215
May,1207,2020,517,690
June,784,2020,500,284
July,485,2020,424,61
August,424,2020,344,80
September,348,2020,281,67
October,398,2020,334,64
November,328,2020,270,58
December,344,2020,186,158
January,534,2021,326,208
February,963,2021,691,272
March,1423,2021,863,560
April,1175,2021,694,481
May,545,2021,189,356
June,553,2021,241,312
July,712,2021,275,437
August,1365,2021,416,949
September,2235,2021,664,1571
October,2725,2021,761,1964
November,2923,2021,1103,1793
December,2239,2021,691,1548
January,2813,2022,688,2125
February,2851,2022,571,2280
March,2970,2022,586,2384
April,2659,2022,475,2184
May,2525,2022,511,2014
June,2362,2022,612,1750
July,2011,2022,423,1588
August,1972,2022,666,1306
September,2190,2022,585,1605
October,1911,2022,526,1385
November,1662,2022,965,697
December,1074,2022,395,679
January,1644,2023,443,1201
February,2363,2023,521,1842
March,2770,2023,534,2236
April,3507,2023,607,2900
May,3940,2023,610,3330
June,4718,2023,548,4170
July,5127,2023,642,4485
August,5686,2023,784,4902
September,6569,2023,937,5632
October,6734,2023,1386,5348
November,6632,2023,1156,5476
December,6158,2023,926,5232
January,6311,2024,951,5360
February,6927,2024,975,5952
March,6880,2024,870,6010
