Month,Total,Year,SW
January,392,2020,388
February,388,2020,381
March,551,2020,546
April,362,2020,359
May,242,2020,240
June,223,2020,223
July,302,2020,296
August,395,2020,395
September,419,2020,413
October,409,2020,407
November,358,2020,356
December,364,2020,357
Total,4405,2020,4361
January,470,2021,466
February,428,2021,424
March,570,2021,565
April,472,2021,469
May,418,2021,415
June,471,2021,470
July,627,2021,626
August,1144,2021,1142
September,1237,2021,1236
October,904,2021,904
November,770,2021,768
December,634,2021,630
Total,8145,2021,8115
January,842,2022,841
February,544,2022,542
March,451,2022,450
April,389,2022,389
May,433,2022,431
June,433,2022,431
July,423,2022,422
August,667,2022,665
September,755,2022,753
October,292,2022,290
November,181,2022,178
December,468,2022,464
Total,5878,2022,5856
January,964,2023,963
February,969,2023,968
March,964,2023,963
April,956,2023,956
May,1096,2023,1095
June,1220,2023,1216
July,1038,2023,1037
August,1303,2023,1301
September,1488,2023,1486
October,1111,2023,1111
November,1039,2023,1039
December,579,2023,577
Total,12728,2023,12712
January,847,2024,845
February,1087,2024,1087
March,333,2024,333
Total,2267,2024,2265
